MAINTENANCE_021,HIGHWAY_DISTRICT_002,YEAR_BUILT_027,ADT_029,YEAR_ADT_030,MEMBRANE_TYPE_108B,SURFACE_TYPE_108A,DECK_STRUCTURE_TYPE_107,YEAR_RECONSTRUCTED_106,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,INVENTORY_RATING_066,OPERATING_RATING_064,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062
1.0,1.0,1985.0,775.0,2020.0,0,6,1,0.0,6,8,24.5,32.7,1.0,19.0,2.7,8.5,12.2,12.6,N,N,N,6,7
1.0,1.0,1991.0,1204.0,2020.0,N,N,N,0.0,6,N,24.5,32.7,1.0,19.0,3.0,13.1,0.0,0.0,N,N,N,6,6
1.0,1.0,1949.0,452.0,2020.0,0,6,1,0.0,6,3,32.7,54.4,1.0,1.0,7.6,22.9,6.5,7.1,7,7,6,5,N
1.0,1.0,1949.0,452.0,2020.0,0,6,1,0.0,6,3,32.7,54.4,1.0,1.0,7.6,22.9,6.5,7.1,6,6,6,6,N
1.0,1.0,1949.0,452.0,2020.0,0,6,1,0.0,6,3,21.8,44.4,1.0,1.0,7.6,22.9,6.5,7.1,6,6,6,6,N
1.0,1.0,1950.0,576.0,2020.0,0,6,1,0.0,6,3,32.7,68.0,1.0,1.0,7.6,30.5,6.5,7.1,7,7,6,5,N
1.0,1.0,1987.0,576.0,2020.0,0,0,1,0.0,6,5,32.7,54.4,5.0,2.0,27.4,64.0,8.4,9.1,8,8,6,6,N
1.0,1.0,1951.0,410.0,2020.0,N,N,N,1963.0,6,4,23.6,39.9,1.0,19.0,2.4,7.3,6.9,16.6,N,N,N,6,6
1.0,1.0,1940.0,414.0,2020.0,0,6,1,1993.0,6,4,29.9,49.9,4.0,2.0,5.2,10.7,6.7,7.2,6,6,6,7,N
1.0,1.0,1940.0,193.0,2020.0,0,6,1,1962.0,5,6,24.5,32.7,1.0,19.0,3.0,6.7,9.1,13.2,N,N,N,6,5
